Date,KO,DUK
2011-04-27,33.5,55.619998931884766
2011-04-28,33.70500183105469,56.040000915527344
2011-04-29,33.72999954223633,55.95000076293945
2011-05-02,33.86000061035156,56.400001525878906
2011-05-03,33.939998626708984,56.34000015258789
2011-05-04,33.72999954223633,56.54999923706055
2011-05-05,33.349998474121094,56.15999984741211
2011-05-06,33.45000076293945,56.15999984741211
2011-05-09,33.474998474121094,56.61000061035156
2011-05-10,33.66999816894531,57.029998779296875
2011-05-11,33.65999984741211,56.90999984741211
2011-05-12,34.154998779296875,57.689998626708984
2011-05-13,34.09000015258789,57.65999984741211
2011-05-16,33.915000915527344,57.900001525878906
2011-05-17,33.994998931884766,58.439998626708984
2011-05-18,34.150001525878906,57.41999816894531
2011-05-19,34.22999954223633,57.209999084472656
