Date,JPM,BAC
2011-12-09,33.18000030517578,5.71999979019165
2011-12-12,32.040000915527344,5.449999809265137
2011-12-13,31.290000915527344,5.320000171661377
2011-12-14,31.510000228881836,5.230000019073486
2011-12-15,31.760000228881836,5.260000228881836
2011-12-16,31.88999938964844,5.199999809265137
2011-12-19,30.700000762939453,4.989999771118164
2011-12-20,32.209999084472656,5.170000076293945
2011-12-21,32.31999969482422,5.230000019073486
2011-12-22,33.45000076293945,5.46999979019165
2011-12-23,33.56999969482422,5.599999904632568
2011-12-27,33.029998779296875,5.480000019073486
2011-12-28,32.650001525878906,5.289999961853027
2011-12-29,33.41999816894531,5.460000038146973
2011-12-30,33.25,5.559999942779541
2012-01-03,34.97999954223633,5.800000190734863
2012-01-04,34.95000076293945,5.809999942779541
2012-01-05,35.68000030517578,6.309999942779541
2012-01-06,35.36000061035156,6.179999828338623
2012-01-09,35.29999923706055,6.269999980926514
2012-01-10,36.04999923706055,6.630000114440918
2012-01-11,36.65999984741211,6.869999885559082
2012-01-12,36.849998474121094,6.789999961853027
2012-01-13,35.91999816894531,6.610000133514404
2012-01-17,34.90999984741211,6.480000019073486
2012-01-18,36.540000915527344,6.800000190734863
2012-01-19,36.93000030517578,6.960000038146973
2012-01-20,37.36000061035156,7.070000171661377
2012-01-23,37.65999984741211,7.25
2012-01-24,37.65999984741211,7.289999961853027
2012-01-25,37.599998474121094,7.349999904632568
2012-01-26,37.4900016784668,7.300000190734863
2012-01-27,37.209999084472656,7.289999961853027
2012-01-30,37.0099983215332,7.070000171661377
2012-01-31,37.29999923706055,7.130000114440918
2012-02-01,37.599998474121094,7.360000133514404
2012-02-02,37.54999923706055,7.449999809265137
2012-02-03,38.279998779296875,7.840000152587891
2012-02-06,38.13999938964844,7.96999979019165
2012-02-07,37.869998931884766,7.849999904632568
2012-02-08,38.29999923706055,8.130000114440918
2012-02-09,37.86000061035156,8.180000305175781
2012-02-10,37.61000061035156,8.069999694824219
2012-02-13,38.29999923706055,8.25
2012-02-14,37.91999816894531,7.980000019073486
2012-02-15,37.400001525878906,7.78000020980835
2012-02-16,38.0,8.09000015258789
2012-02-17,38.470001220703125,8.020000457763672
2012-02-21,38.459999084472656,8.109999656677246
2012-02-22,38.06999969482422,7.949999809265137
2012-02-23,38.4900016784668,8.020000457763672
2012-02-24,38.279998779296875,7.880000114440918
2012-02-27,39.060001373291016,8.039999961853027
2012-02-28,39.209999084472656,8.119999885559082
2012-02-29,39.2400016784668,7.96999979019165
2012-03-01,40.369998931884766,8.119999885559082
2012-03-02,40.630001068115234,8.130000114440918
2012-03-05,40.400001525878906,7.96999979019165
2012-03-06,39.31999969482422,7.710000038146973
2012-03-07,39.95000076293945,8.020000457763672
2012-03-08,40.439998626708984,8.0600004196167
2012-03-09,41.029998779296875,8.050000190734863
2012-03-12,40.540000915527344,7.989999771118164
2012-03-13,43.38999938964844,8.489999771118164
2012-03-14,43.58000183105469,8.84000015258789
2012-03-15,44.70000076293945,9.239999771118164
2012-03-16,44.56999969482422,9.800000190734863
2012-03-19,45.0,9.529999732971191
2012-03-20,45.380001068115234,9.8100004196167
2012-03-21,45.119998931884766,9.81999969482422
2012-03-22,44.650001525878906,9.600000381469728
2012-03-23,45.15999984741211,9.850000381469728
2012-03-26,46.16999816894531,9.93000030517578
2012-03-27,45.88999938964844,9.600000381469728
2012-03-28,46.27000045776367,9.75
2012-03-29,45.66999816894531,9.529999732971191
2012-03-30,45.97999954223633,9.56999969482422
2012-04-02,46.130001068115234,9.68000030517578
2012-04-03,45.41999816894531,9.489999771118164
2012-04-04,44.40999984741211,9.199999809265137
2012-04-05,44.34000015258789,9.229999542236328
2012-04-09,43.88999938964844,8.930000305175781
2012-04-10,42.959999084472656,8.539999961853027
2012-04-11,44.0099983215332,8.859999656677246
2012-04-12,44.84000015258789,9.170000076293944
2012-04-13,43.209999084472656,8.680000305175781
2012-04-16,43.33000183105469,8.789999961853027
2012-04-17,43.900001525878906,8.920000076293945
2012-04-18,43.290000915527344,8.920000076293945
2012-04-19,43.220001220703125,8.770000457763672
2012-04-20,42.720001220703125,8.359999656677246
2012-04-23,42.849998474121094,8.180000305175781
2012-04-24,43.279998779296875,8.210000038146973
2012-04-25,43.15999984741211,8.260000228881836
2012-04-26,43.79999923706055,8.270000457763672
2012-04-27,43.34000015258789,8.25
2012-04-30,42.97999954223633,8.109999656677246
