Date,BAC,C,spread_t,beta_t_est,signal_t,theta_t,E·P_t,z_t
2017-11-20,26.739999771118164,72.05000305175781,-0.019939802459909117,0.35889784436666194,0,1.8,-7.847742523014,-0.965206137754641
2017-11-21,26.729999542236328,72.37999725341797,-0.02087902617877191,0.35712854493175944,0,1.8,-7.936964640562094,-1.044235537746861
2017-11-22,26.65999984741211,72.26000213623047,-0.006784210504122257,0.3565582975428909,0,1.8,-7.934136802722152,-1.0336035325377182
2017-11-24,26.59000015258789,72.0199966430664,0.0012486964245574939,0.356662731638206,0,1.8,-7.900323884283379,-0.9932394740214991
2017-11-27,26.59000015258789,71.38999938964844,0.03255239406140831,0.359351007401517,0,1.8,-7.7376669846998976,-0.8286977961435549
2017-11-28,27.63999938964844,73.69999694824219,0.0343495859757077,0.3623789442282445,0,1.8,-7.911776504932288,-0.990331738440019
2017-11-29,28.280000686645508,75.04000091552734,0.025068071107796186,0.3645959180768382,0,1.8,-8.000344408538579,-1.0679612848162743
2017-11-30,28.170000076293945,75.5,-0.033332998466715225,0.3616723137846044,0,1.8,-8.163351388484097,-1.2160746721321471
2017-12-01,28.100000381469727,75.51000213623047,-0.014126190673994898,0.36044203741936975,0,1.8,-8.19408710997813,-1.2355505642659041
2017-12-04,29.059999465942383,77.0999984741211,0.04747218460234848,0.3647231260171581,0,1.8,-8.218499228299804,-1.2487546562056078
2017-12-05,28.93000030517578,76.54000091552734,0.01576756492040232,0.36610261128126703,0,1.8,-8.126199913806966,-1.1502582684638
2017-12-06,28.63999938964844,75.44000244140625,0.017042170057326445,0.36756332968183303,0,1.8,-7.958830948948323,-0.9810157965512831
2017-12-07,28.780000686645508,74.9800033569336,0.04359862006207749,0.3713081750899761,0,1.8,-7.783757938890192,-0.805861459314894
2017-12-08,29.049999237060547,75.70999908447266,0.005585654855934763,0.371799299611191,0,1.8,-7.863641910028354,-0.8762363102563995
2017-12-11,28.940000534057617,75.8499984741211,-0.020516783100759994,0.37000341497942335,0,1.8,-7.944028463886536,-0.946336250173619
2017-12-12,29.31999969482422,76.1500015258789,0.03237244355450386,0.37284970557770636,0,1.8,-7.86865271013291,-0.8671506716120396
2017-12-13,28.84000015258789,75.13999938964844,-0.009479910476581921,0.3720381529599186,0,1.8,-7.8009354903645995,-0.7960055254485626
2017-12-14,28.729999542236328,73.91999816894531,0.04577553866478823,0.3758889351554836,0,1.8,-7.530188768279455,-0.5309641868759525
2017-12-15,29.040000915527344,74.7699966430664,0.004852435160316304,0.37631188057921966,0,1.8,-7.62496704293827,-0.6169922679112815
2017-12-18,29.479999542236328,75.66999816894531,0.013942229637901704,0.37754219122260607,0,1.8,-7.680371610417195,-0.6650470458306001
2017-12-19,29.450000762939453,74.69999694824219,0.04713912032216783,0.3815643827282916,0,1.8,-7.441995478156501,-0.4317246334782765
2017-12-20,29.479999542236328,74.66000366210938,0.012419780041728501,0.38263380364217287,0,1.8,-7.4196044813749875,-0.40690993167045225
2017-12-21,29.81999969482422,75.81999969482422,-0.011962330527371279,0.38157427958262374,0,1.8,-7.582354733657283,-0.5595677351717392
2017-12-22,29.8799991607666,75.48999786376953,0.023006065402952913,0.38357009175878076,0,1.8,-7.473021363233428,-0.4508364713028561
2017-12-26,29.780000686645508,74.77999877929688,0.02623799080839717,0.38581468845123584,0,1.8,-7.3299276225915175,-0.31059757567470814
2017-12-27,29.729999542236328,74.88999938964844,-0.008853351184257008,0.3850489465296791,0,1.8,-7.3784383652187415,-0.35458558171361787
2017-12-28,29.799999237060547,75.08000183105469,-0.001599995103298113,0.38491000534942066,0,1.8,-7.399341161709344,-0.3714039557111865
2017-12-29,29.520000457763672,74.41000366210938,-0.003208522445795836,0.3846363147622532,0,1.8,-7.338969771100082,-0.3101408174642535
2018-01-02,29.899999618530273,74.36000061035156,0.05356061922154609,0.389234617278098,0,1.8,-7.173227103325363,-0.14793168516856312
2018-01-03,29.799999237060547,74.58999633789062,-0.01828721077362161,0.38765392982197555,0,1.8,-7.272828270003032,-0.24127909863815447
2018-01-04,30.190000534057617,75.51000213623047,0.0019854024818428684,0.3878287918132081,0,1.8,-7.35350619013218,-0.31624579519567536
2018-01-05,30.329999923706055,75.41000366210938,0.023931202265945473,0.3899087340027661,0,1.8,-7.271381309758315,-0.23412355743057736
2018-01-08,30.1200008392334,74.52999877929688,0.021212422960971367,0.39171515081193325,0,1.8,-7.128635679670392,-0.09421138709124123
2018-01-09,30.270000457763672,75.30999755859375,-0.017777083185659848,0.3901577731847979,0,1.8,-7.269692358967223,-0.22732235937678122
2018-01-10,30.549999237060547,75.6500015258789,0.017049168522287772,0.39165102201659263,0,1.8,-7.244863642065928,-0.20001322410832456
2018-01-11,30.65999984741211,75.55999755859375,0.021421037092093087,0.39351455794736495,0,1.8,-7.177384473227891,-0.13128062654205502
2018-01-12,31.190000534057617,76.83999633789062,0.0061149386953900375,0.3940624216581488,0,1.8,-7.294701179827706,-0.24042071489669326
2018-01-16,31.239999771118164,77.11000061035156,-0.006426043115617119,0.39349146382237743,0,1.8,-7.344303403587235,-0.28422474878979326
2018-01-17,31.18000030517578,77.47000122070312,-0.02639602565083976,0.3911377581132843,0,1.8,-7.461382059256772,-0.3933372763948802
2018-01-18,31.479999542236328,77.38999938964844,0.03878303483640266,0.39457492628754176,0,1.8,-7.320069419416697,-0.2507873332678549
2018-01-19,31.719999313354492,78.30000305175781,-0.010002728413105899,0.39367031224465454,0,1.8,-7.458494304637691,-0.37979852745423703
2018-01-22,31.940000534057617,78.58999633789062,0.011891291623111755,0.39474204594606815,0,1.8,-7.444884021965446,-0.3603528030843994
2018-01-23,31.920000076293945,78.55000305175781,0.0009542306882899254,0.3948276366631437,0,1.8,-7.442602308251644,-0.351817844874337
2018-01-24,32.09000015258789,79.44999694824219,-0.022459433137477447,0.39277422660010985,0,1.8,-7.606596108456131,-0.5078746186402622
2018-01-25,32.09000015258789,79.44000244140625,-0.002263071842733666,0.39256926626234506,0,1.8,-7.604015659912935,-0.49927015694177834
2018-01-26,32.20000076293945,80.08000183105469,-0.017276985009793577,0.39098468757285476,0,1.8,-7.725013634554722,-0.6139258024416887
2018-01-29,32.279998779296875,79.95999908447266,0.013255069348495852,0.3921895085088103,0,1.8,-7.6618559777035955,-0.5444398448881148
2018-01-30,31.8799991607666,78.62000274658203,0.017276455658304712,0.39371701142104626,0,1.8,-7.476763337244405,-0.351374818634943
2018-01-31,32.0,78.4800033569336,0.02395217531618954,0.3958573192747987,0,1.8,-7.392354006228711,-0.2590437214288855
2018-02-01,32.5,79.19999694824219,0.029261309952175907,0.3985197874675252,0,1.8,-7.37715086239222,-0.236652788959135
2018-02-02,31.950000762939453,77.0199966430664,0.04481321166388952,0.4023817830624076,0,1.8,-7.035509002336781,0.12288547131445901
